contig	Terminos_GO
19	Oarb_138966_c1_g3	GO:0005783;GO:0005789;GO:0016021;GO:0005811;GO:0005634;GO:0017053;GO:0033613;GO:0003700;GO:0004745;GO:0008134;GO:0043616;GO:0035067;GO:0000122;GO:0031065;GO:0042574;GO:0042572
20	Oarb_139263_c0_g1	GO:0004144;GO:0006071;GO:0019432
21	Oarb_143847_c3_g1	GO:0016021;GO:0008289;GO:0016747;GO:0006869;GO:0007275
22	Oarb_144642_c0_g1	GO:0005829;GO:0004648;GO:0006564
23	Oarb_145370_c1_g2	GO:0005789;GO:0016021;GO:0005506;GO:0016491;GO:0004768;GO:0006636
24	Oarb_146264_c1_g1	GO:0005737;GO:0005829;GO:0004354;GO:0042802;GO:0006537
25	Oarb_148247_c2_g2	GO:0005813;GO:0005829;GO:0019005;GO:0000151;GO:0004842;GO:0051301;GO:0008283;GO:0000086;GO:0000278;GO:0010972;GO:0043687;GO:0000209;GO:0016567;GO:0010265;GO:0031146;GO:0006511
26	Oarb_148356_c4_g1	GO:0005737;GO:0000234;GO:0052667;GO:0006656
27	Oarb_148645_c1_g1	GO:0009346;GO:0005829;GO:0005654;GO:0005886;GO:0005524;GO:0003878;GO:0048037;GO:0046872;GO:0006085;GO:0006101;GO:0006633;GO:0008610;GO:0006107
28	Oarb_148645_c1_g3	GO:0005737;GO:0005524;GO:0003878;GO:0048037;GO:0046872;GO:0006085;GO:0006101;GO:0008610
29	Oarb_152550_c3_g1	GO:0005737;GO:0010494;GO:0005829;GO:0005764;GO:0005654;GO:0031931;GO:0071889;GO:0030674;GO:0030295;GO:0019901;GO:0030291;GO:0044877;GO:0001030;GO:0001031;GO:0001032;GO:0001156;GO:0071230;GO:0071233;GO:0031669;GO:0009267;GO:0046676;GO:0030307;GO:0001938;GO:1900087;GO:0033138;GO:0010800;GO:0071902;GO:0032008;GO:0045945;GO:0001558;GO:0008361;GO:0042325;GO:0001932;GO:0031929;GO:0038202
30	Oarb_153056_c2_g1	unknown
31	Oarb_154415_c5_g2	GO:0005794;GO:0000139;GO:0016021;GO:0030246;GO:0046872;GO:0005112;GO:0004653;GO:0060271;GO:0007368;GO:0007220;GO:0061314;GO:0018243;GO:0008593
32	Oarb_155160_c11_g2	GO:0009501;GO:0051538;GO:0050660;GO:0010181;GO:0016040;GO:0005506;GO:0006541;GO:0097054
33	Oarb_20717_c0_g1	GO:0005737;GO:0005634
34	Oarb_23759_c0_g1	GO:0005730;GO:0005634;GO:0005956;GO:0005524;GO:0016301;GO:0004674;GO:0042752
