genes,signedlogP
Oarb_100858_c0_g2,0.962871605622237
Oarb_100864_c0_g1,1.15574311762334
Oarb_100866_c2_g1,0.519764086071028
Oarb_100867_c0_g1,0.441869232456262
Oarb_100868_c0_g1,-0.433432997309832
Oarb_100872_c2_g1,-0.194977502775116
Oarb_100874_c1_g1,-2.1146194145793
Oarb_100875_c0_g1,-1.32934983388385
Oarb_100883_c0_g2,-0.382135573789577
Oarb_100884_c0_g1,-0.345850255627471
Oarb_100889_c0_g1,0.248202175343516
Oarb_100889_c0_g2,-1.61036351521592
Oarb_100911_c0_g1,0.56576632792147
Oarb_100915_c0_g1,0.404235350997731
Oarb_100920_c0_g1,-0.650664028061013
Oarb_100924_c0_g1,-1.34467423566314
Oarb_100944_c0_g1,0.122448100428847
Oarb_100947_c0_g1,0.523453104053926
Oarb_100963_c0_g1,-0.487431736085868
Oarb_100967_c0_g1,-0.443124388895705
Oarb_100970_c1_g1,1.96024571343527
Oarb_100972_c0_g1,-0.744374547374959
Oarb_100990_c1_g1,0.398003471800527
Oarb_100990_c1_g2,-0.65825942408694
Oarb_100993_c0_g1,-0.109882094696061
Oarb_100993_c0_g2,-3.24479647989218
Oarb_100998_c0_g1,-0.312231736808226
Oarb_100998_c1_g1,0.19073648999213
Oarb_101008_c0_g1,0.833195466303952
Oarb_101052_c0_g1,-0.105270226040471
Oarb_101055_c0_g1,-0.447972867155815
Oarb_101063_c0_g1,0.179800865168007
Oarb_101066_c0_g1,0.545182468245213
Oarb_101069_c1_g1,1.48680870074346
Oarb_101077_c0_g1,-2.30166786674391
Oarb_101079_c1_g1,-1.66709687994419
Oarb_101082_c0_g1,-1.16219508958356
Oarb_101085_c1_g2,1.83967542370267
Oarb_101089_c0_g1,2.62364284687272
Oarb_101108_c0_g1,-2.10173591222717
Oarb_101110_c0_g1,-0.939886072981609
Oarb_101111_c0_g2,1.17479287580601
Oarb_101117_c2_g1,1.86883606198573
Oarb_101119_c0_g1,-1.10007937593308
Oarb_101124_c0_g1,0.365492514101051
Oarb_101132_c1_g1,-1.31593101108707
Oarb_101141_c0_g1,-0.517375493404232
Oarb_101155_c1_g1,1.67540453474358
Oarb_101155_c2_g1,0.821844156378938
Oarb_101157_c0_g2,-0.400265464994124
Oarb_101158_c1_g1,-1.8723651128132
Oarb_101161_c1_g1,-0.12596480651352
Oarb_101164_c0_g1,0.299127713091077
Oarb_101166_c0_g1,0.658933514018264
Oarb_101171_c0_g1,0.741162592521542
Oarb_101185_c0_g1,0.344130275855765
Oarb_101192_c0_g1,0.0450243547360816
Oarb_101196_c0_g1,1.09286527669917
Oarb_101202_c0_g1,1.91486128792605
Oarb_101204_c0_g1,-0.178400159454158
Oarb_101220_c0_g1,1.02272437952328
Oarb_101222_c0_g1,0.423519839834467
Oarb_101223_c0_g1,-0.855240256112495
Oarb_101225_c0_g1,-0.454395822399179
Oarb_101227_c2_g1,0.0783721467535778
Oarb_101227_c3_g1,-0.905486776670458
Oarb_101228_c1_g1,-0.764454262606579
Oarb_101228_c1_g2,-0.895335833260081
Oarb_101248_c1_g1,0.868529798863876
Oarb_101258_c0_g1,0.250933650774393
Oarb_101268_c0_g1,1.95432511766957
Oarb_101279_c4_g1,-0.12308692219915
Oarb_101285_c0_g1,0.582874114451125
Oarb_101292_c0_g1,0.654708968041403
Oarb_101296_c0_g1,-0.00610559476678536
Oarb_101298_c0_g1,1.67618866862742
Oarb_101302_c0_g1,0.379355244586991
Oarb_101306_c0_g1,0.0194376368545647
Oarb_101307_c0_g2,0.466476637694034
Oarb_101308_c6_g1,0.00777857440720115
Oarb_101334_c2_g1,-0.617249428978872
Oarb_101337_c0_g1,0.194678369084191
Oarb_101353_c1_g1,0.398488111868629
Oarb_101360_c0_g1,0.402125442820386
Oarb_101366_c0_g1,0.098355293183794
Oarb_101373_c0_g1,0.715405102701942
Oarb_101384_c0_g1,2.14253642288628
